#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.00774  0.03427  0.06353  1.11653  0.000933  0.000404  0.028735     2.310
   1.01057  0.03227  0.06154  1.09913  0.000917  0.000397  0.028667     2.310
   1.01332  0.03035  0.05956  1.08165  0.000898  0.000390  0.028890     2.305
   1.01601  0.02850  0.05761  1.06345  0.000882  0.000383  0.028930     2.305
   1.01863  0.02673  0.05568  1.04503  0.000865  0.000376  0.029163     2.302
   1.02119  0.02502  0.05377  1.02616  0.000849  0.000369  0.029181     2.299
   1.02369  0.02339  0.05188  1.00667  0.000834  0.000363  0.029264     2.300
   1.02613  0.02183  0.05001  0.98715  0.000817  0.000356  0.029365     2.295
   1.02852  0.02032  0.04815  0.96681  0.000802  0.000350  0.029231     2.294
   1.03085  0.01889  0.04631  0.94611  0.000786  0.000343  0.029384     2.291
   1.03313  0.01751  0.04449  0.92469  0.000774  0.000337  0.029288     2.294
   1.03536  0.01620  0.04269  0.90346  0.000754  0.000330  0.029307     2.284
   1.03754  0.01494  0.04091  0.88060  0.000743  0.000325  0.028933     2.289
   1.03968  0.01374  0.03914  0.85808  0.000724  0.000318  0.029262     2.278
   1.04178  0.01260  0.03738  0.83379  0.000715  0.000313  0.028720     2.286
   1.04383  0.01151  0.03564  0.81008  0.000696  0.000306  0.028998     2.276
   1.04584  0.01048  0.03392  0.78467  0.000682  0.000300  0.028223     2.270
   1.04781  0.00950  0.03221  0.75828  0.000675  0.000296  0.028381     2.281
   1.04974  0.00857  0.03051  0.73258  0.000654  0.000289  0.028146     2.265
   1.05164  0.00769  0.02883  0.70443  0.000645  0.000284  0.027062     2.267
   1.05351  0.00686  0.02716  0.67613  0.000633  0.000279  0.027380     2.266
   1.05534  0.00608  0.02550  0.64704  0.000619  0.000274  0.026508     2.261
   1.05714  0.00535  0.02386  0.61679  0.000607  0.000269  0.025875     2.258
   1.05890  0.00467  0.02223  0.58579  0.000600  0.000265  0.025270     2.266
   1.06064  0.00404  0.02061  0.55452  0.000581  0.000259  0.024543     2.248
   1.06235  0.00345  0.01900  0.52085  0.000576  0.000255  0.023269     2.255
   1.06403  0.00292  0.01741  0.48730  0.000564  0.000250  0.023004     2.251
   1.06569  0.00242  0.01583  0.45236  0.000553  0.000246  0.021447     2.245
   1.06732  0.00198  0.01426  0.41635  0.000545  0.000242  0.020423     2.249
   1.06892  0.00158  0.01271  0.37969  0.000534  0.000238  0.019206     2.242
   1.07051  0.00123  0.01116  0.34169  0.000526  0.000235  0.017718     2.241
   1.07206  0.00092  0.00963  0.30277  0.000518  0.000232  0.016198     2.238
   1.07360  0.00066  0.00812  0.26354  0.000511  0.000228  0.014788     2.246
   1.07512  0.00044  0.00662  0.22316  0.000498  0.000223  0.012549     2.234
   1.07662  0.00027  0.00513  0.18081  0.000495  0.000223  0.011169     2.222
   1.07809  0.00014  0.00366  0.13857  0.000484  0.000215  0.008774     2.257
   1.07955  0.00005  0.00220  0.09481  0.000463  0.000208  0.007169     2.230
   1.08099  0.00001  0.00076  0.04863  0.000463  0.000208  0.004333     2.230
   1.08242  0.00000 -0.00066  0.01523  0.000463  0.000208  0.002359     2.230
   1.08384  0.00005 -0.00209 -0.03488  0.000451  0.000197  0.000365     2.287
   1.08528  0.00013 -0.00352 -0.08325  0.000442  0.000200  0.002652     2.214
   1.08673  0.00027 -0.00496 -0.13343  0.000455  0.000202  0.004943     2.250
   1.08818  0.00045 -0.00641 -0.18130  0.000458  0.000206  0.008770     2.225
   1.08965  0.00069 -0.00785 -0.23035  0.000459  0.000206  0.010650     2.232
   1.09112  0.00098 -0.00929 -0.28341  0.000442  0.000200  0.014382     2.208
   1.09260  0.00133 -0.01073 -0.33454  0.000455  0.000202  0.016490     2.249
   1.09409  0.00173 -0.01217 -0.38616  0.000447  0.000202  0.021216     2.220
   1.09559  0.00220 -0.01359 -0.43872  0.000450  0.000202  0.022625     2.233
   1.09710  0.00273 -0.01501 -0.49076  0.000451  0.000202  0.026811     2.231
   1.09863  0.00332 -0.01642 -0.54206  0.000455  0.000203  0.029336     2.237
   1.10017  0.00398 -0.01781 -0.59233  0.000459  0.000205  0.032448     2.239
   1.10172  0.00470 -0.01918 -0.64104  0.000466  0.000208  0.034929     2.245
   1.10329  0.00548 -0.02054 -0.68912  0.000470  0.000210  0.037355     2.242
   1.10487  0.00633 -0.02187 -0.73440  0.000482  0.000214  0.039323     2.256
   1.10647  0.00725 -0.02318 -0.77777  0.000491  0.000218  0.041688     2.257
   1.10808  0.00823 -0.02446 -0.81867  0.000504  0.000222  0.042537     2.265
   1.10972  0.00928 -0.02572 -0.85659  0.000518  0.000228  0.043928     2.274
   1.11137  0.01038 -0.02695 -0.89215  0.000533  0.000234  0.044516     2.280
   1.11305  0.01155 -0.02815 -0.92486  0.000550  0.000240  0.044690     2.289
   1.11475  0.01278 -0.02933 -0.95557  0.000567  0.000247  0.044825     2.293
   1.11648  0.01408 -0.03047 -0.98239  0.000591  0.000255  0.044453     2.312
   1.11823  0.01543 -0.03158 -1.00787  0.000608  0.000263  0.044243     2.312
   1.12000  0.01684 -0.03267 -1.03051  0.000632  0.000272  0.042788     2.325
   1.12181  0.01831 -0.03372 -1.05082  0.000657  0.000281  0.042397     2.335
   1.12365  0.01984 -0.03475 -1.06878  0.000684  0.000291  0.041071     2.348
   1.12552  0.02142 -0.03574 -1.08502  0.000711  0.000301  0.039793     2.357
   1.12743  0.02306 -0.03671 -1.09897  0.000742  0.000313  0.038293     2.372
   1.12937  0.02477 -0.03765 -1.11173  0.000770  0.000324  0.036991     2.379
   1.13136  0.02653 -0.03856 -1.12257  0.000803  0.000336  0.035297     2.393
   1.13338  0.02835 -0.03944 -1.13209  0.000836  0.000348  0.034060     2.405
   1.13545  0.03023 -0.04030 -1.14009  0.000872  0.000361  0.032431     2.419
   1.13756  0.03217 -0.04114 -1.14742  0.000905  0.000373  0.030976     2.426
   1.13973  0.03418 -0.04195 -1.15291  0.000947  0.000387  0.029393     2.445
   1.14194  0.03625 -0.04273 -1.15806  0.000984  0.000401  0.028203     2.453
   1.14421  0.03838 -0.04349 -1.16179  0.001027  0.000416  0.026510     2.470
   1.14654  0.04059 -0.04423 -1.16494  0.001069  0.000431  0.025365     2.483
   1.14893  0.04287 -0.04495 -1.16735  0.001113  0.000446  0.023873     2.496
   1.15138  0.04522 -0.04565 -1.16891  0.001160  0.000462  0.022641     2.511
   1.15390  0.04765 -0.04632 -1.17009  0.001206  0.000478  0.021432     2.522
   1.15650  0.05016 -0.04697 -1.17059  0.001256  0.000495  0.020204     2.537
   1.15917  0.05276 -0.04760 -1.17045  0.001309  0.000513  0.019149     2.554
   1.16193  0.05545 -0.04821 -1.17000  0.001362  0.000530  0.018058     2.567
   1.16477  0.05823 -0.04880 -1.16914  0.001416  0.000549  0.016959     2.580
   1.16771  0.06111 -0.04937 -1.16777  0.001475  0.000568  0.016002     2.598
   1.17074  0.06410 -0.04992 -1.16599  0.001536  0.000588  0.015109     2.615
   1.17389  0.06720 -0.05045 -1.16401  0.001598  0.000608  0.014159     2.630
   1.17715  0.07042 -0.05096 -1.16162  0.001664  0.000628  0.013267     2.647
   1.18052  0.07376 -0.05145 -1.15907  0.001729  0.000650  0.012477     2.661
   1.18403  0.07724 -0.05192 -1.15602  0.001803  0.000672  0.011678     2.683
   1.18768  0.08086 -0.05237 -1.15293  0.001875  0.000695  0.010976     2.698
   1.19148  0.08463 -0.05279 -1.14952  0.001952  0.000719  0.010193     2.716
   1.19543  0.08856 -0.05320 -1.14588  0.002033  0.000743  0.009567     2.735
   1.19956  0.09268 -0.05358 -1.14198  0.002119  0.000769  0.008914     2.756
   1.20388  0.09697 -0.05394 -1.13797  0.002205  0.000795  0.008294     2.775
   1.20839  0.10147 -0.05428 -1.13377  0.002297  0.000822  0.007682     2.795
   1.21311  0.10619 -0.05459 -1.12938  0.002394  0.000850  0.007146     2.817
   1.21807  0.11114 -0.05487 -1.12488  0.002493  0.000879  0.006625     2.836
   1.22327  0.11633 -0.05513 -1.12016  0.002599  0.000909  0.006117     2.858
   1.22874  0.12180 -0.05537 -1.11540  0.002707  0.000940  0.005671     2.878
   1.23449  0.12754 -0.05557 -1.11046  0.002822  0.000973  0.005218     2.900
   1.24055  0.13360 -0.05574 -1.10541  0.002942  0.001007  0.004820     2.922
   1.24694  0.13999 -0.05589 -1.10029  0.003065  0.001041  0.004428     2.943
   1.25367  0.14672 -0.05600 -1.09506  0.003195  0.001078  0.004065     2.965
   1.26078  0.15382 -0.05608 -1.08982  0.003326  0.001115  0.003736     2.983
   1.26827  0.16132 -0.05613 -1.08453  0.003462  0.001153  0.003423     3.002
   1.27617  0.16922 -0.05614 -1.07925  0.003600  0.001193  0.003159     3.019
   1.28449  0.17754 -0.05613 -1.07398  0.003740  0.001233  0.002908     3.033
   1.29325  0.18629 -0.05608 -1.06879  0.003879  0.001274  0.002693     3.044
   1.30243  0.19548 -0.05601 -1.06370  0.004015  0.001316  0.002504     3.050
   1.31205  0.20509 -0.05591 -1.05873  0.004147  0.001359  0.002350     3.052
   1.32207  0.21511 -0.05579 -1.05395  0.004267  0.001401  0.002232     3.045
   1.33246  0.22550 -0.05566 -1.04950  0.004374  0.001443  0.002142     3.032
   1.34317  0.23621 -0.05553 -1.04537  0.004470  0.001484  0.002096     3.013
   1.35413  0.24718 -0.05539 -1.04168  0.004542  0.001522  0.002094     2.983
   1.36530  0.25834 -0.05527 -1.03853  0.004592  0.001559  0.002122     2.946
   1.37659  0.26964 -0.05517 -1.03602  0.004614  0.001592  0.002204     2.899
   1.38798  0.28102 -0.05509 -1.03433  0.004601  0.001620  0.002331     2.840
   1.39942  0.29246 -0.05504 -1.03354  0.004558  0.001643  0.002516     2.774
   1.41087  0.30391 -0.05502 -1.03420  0.004461  0.001657  0.002775     2.692
   1.42233  0.31537 -0.05496 -1.03500  0.004406  0.001672  0.003099     2.635
   1.43380  0.32684 -0.05483 -1.03548  0.004404  0.001691  0.003566     2.605
   1.44530  0.33834 -0.05462 -1.03562  0.004440  0.001713  0.003912     2.592
   1.45686  0.34989 -0.05436 -1.03538  0.004503  0.001738  0.004096     2.591
   1.46847  0.36150 -0.05403 -1.03468  0.004590  0.001766  0.004154     2.599
   1.48015  0.37317 -0.05365 -1.03364  0.004696  0.001796  0.004124     2.614
   1.49189  0.38491 -0.05321 -1.03222  0.004820  0.001829  0.004026     2.635
   1.50372  0.39672 -0.05272 -1.03052  0.004957  0.001864  0.003883     2.660
   1.51562  0.40861 -0.05218 -1.02855  0.005108  0.001900  0.003700     2.689
   1.52760  0.42058 -0.05158 -1.02643  0.005270  0.001936  0.003502     2.721
   1.53966  0.43262 -0.05095 -1.02406  0.005445  0.001975  0.003291     2.757
   1.55179  0.44474 -0.05027 -1.02154  0.005627  0.002014  0.003073     2.794
   1.56401  0.45693 -0.04954 -1.01886  0.005821  0.002054  0.002850     2.833
   1.57630  0.46920 -0.04878 -1.01611  0.006025  0.002095  0.002639     2.876
   1.58867  0.48154 -0.04798 -1.01323  0.006240  0.002137  0.002428     2.920
   1.60111  0.49395 -0.04714 -1.01026  0.006465  0.002180  0.002223     2.966
   1.61362  0.50643 -0.04628 -1.00730  0.006701  0.002222  0.002025     3.016
   1.62619  0.51898 -0.04537 -1.00430  0.006951  0.002265  0.001835     3.069
   1.63884  0.53159 -0.04444 -1.00135  0.007212  0.002307  0.001655     3.125
   1.65154  0.54426 -0.04349 -0.99839  0.007485  0.002350  0.001481     3.185
   1.66431  0.55698 -0.04250 -0.99537  0.007772  0.002394  0.001316     3.247
   1.67713  0.56976 -0.04150 -0.99240  0.008074  0.002437  0.001160     3.313
   1.69000  0.58259 -0.04047 -0.98944  0.008390  0.002480  0.001011     3.383
   1.70292  0.59547 -0.03942 -0.98666  0.008721  0.002522  0.000870     3.458
